step,epoch,training_loss,validation_loss
20,0.07103218645948946,1.182,
40,0.14206437291897892,1.0431,
60,0.21309655937846836,0.9585,
80,0.28412874583795783,0.8998,
100,0.3551609322974473,0.9135,
100,0.3551609322974473,,0.8867178559303284
120,0.4261931187569367,0.8807,
140,0.4972253052164262,0.8386,
160,0.5682574916759157,0.8576,
180,0.6392896781354052,0.8433,
200,0.7103218645948945,0.8366,
200,0.7103218645948945,,0.8550970554351807
220,0.781354051054384,0.8334,
240,0.8523862375138734,0.8269,
260,0.9234184239733629,0.8185,
280,0.9944506104328524,0.8187,
300,1.0639289678135406,0.7914,
300,1.0639289678135406,,0.8471099734306335
320,1.13496115427303,0.8027,
340,1.2059933407325194,0.7861,
360,1.2770255271920088,0.7828,
380,1.3480577136514984,0.7856,
400,1.4190899001109878,0.7862,
400,1.4190899001109878,,0.8445374965667725
420,1.4901220865704772,0.7693,
440,1.5611542730299668,0.7794,
460,1.6321864594894562,0.7701,
480,1.7032186459489456,0.7625,
500,1.774250832408435,0.7606,
500,1.774250832408435,,0.8430332541465759
520,1.8452830188679246,0.784,
540,1.916315205327414,0.7746,
560,1.9873473917869036,0.7797,
580,2.0568257491675914,0.7494,
600,2.1278579356270813,0.744,
600,2.1278579356270813,,0.8484336733818054
620,2.1988901220865706,0.7449,
640,2.26992230854606,0.7595,
660,2.3409544950055494,0.7545,
680,2.411986681465039,0.7194,
700,2.483018867924528,0.725,
700,2.483018867924528,,0.8496642708778381
720,2.5540510543840176,0.7638,
740,2.625083240843507,0.7453,
760,2.696115427302997,0.7324,
780,2.767147613762486,0.7561,
800,2.8381798002219756,0.7576,
800,2.8381798002219756,,0.849814236164093
