step,epoch,training_loss,validation_loss
20,0.0706401766004415,1.1698,
40,0.141280353200883,1.0468,
60,0.2119205298013245,0.9735,
80,0.282560706401766,0.9277,
100,0.35320088300220753,0.9027,
100,0.35320088300220753,,0.9015308618545532
120,0.423841059602649,0.8975,
140,0.49448123620309054,0.8625,
160,0.565121412803532,0.851,
180,0.6357615894039735,0.8706,
200,0.7064017660044151,0.8598,
200,0.7064017660044151,,0.8670157790184021
220,0.7770419426048565,0.8554,
240,0.847682119205298,0.8538,
260,0.9183222958057395,0.8495,
280,0.9889624724061811,0.8456,
300,1.0565121412803533,0.8348,
300,1.0565121412803533,,0.8542131781578064
320,1.1271523178807947,0.8204,
340,1.1977924944812361,0.8291,
360,1.2684326710816778,0.8067,
380,1.3390728476821192,0.8074,
400,1.4097130242825608,0.8332,
400,1.4097130242825608,,0.8465319275856018
420,1.4803532008830023,0.8308,
440,1.5509933774834437,0.8218,
460,1.621633554083885,0.8147,
480,1.6922737306843267,0.8204,
500,1.7629139072847684,0.8089,
500,1.7629139072847684,,0.8405657410621643
520,1.8335540838852098,0.8236,
540,1.9041942604856512,0.8051,
560,1.9748344370860926,0.8105,
580,2.0423841059602648,0.7945,
600,2.1130242825607066,0.8198,
600,2.1130242825607066,,0.8378574848175049
620,2.183664459161148,0.7955,
640,2.2543046357615895,0.8024,
660,2.324944812362031,0.8022,
680,2.3955849889624723,0.7708,
700,2.466225165562914,0.7728,
700,2.466225165562914,,0.8365091681480408
720,2.5368653421633556,0.7992,
740,2.607505518763797,0.7864,
760,2.6781456953642384,0.8057,
780,2.74878587196468,0.7785,
800,2.8194260485651217,0.7906,
800,2.8194260485651217,,0.8356064558029175
820,2.8900662251655627,0.7991,
840,2.9607064017660045,0.7806,
